local	transectID	comprimento do transecto (km)	dist_perpendicular (m)
Anch	1	1,1	
Anch	2	1,1	
Anch	3	1,1	2,88
Anch			2,88
Anch			6,5
Anch			6,5
Anch			6,5
Anch			6,5
Anch	4	1,1	
Anch	5	1,415	
Anch	6	1,1	0
Anch			0
Anch	7	1,1	
Anch	8	1,415	
Anch	9	1,1	12,25
Anch			12,25
Anch			12,25
Anch			12,25
Anch			12,25
Anch	10	1,415	
Anch	11	1,1	
Anch	12	1,1	
Anch	13	1,55	3,75
Anch			3,75
Anch			3,75
Anch			3,75
Anch	14	1,1	
Anch	15	1,1	
Anch	16	1,415	
Anch	17	1,415	
Anch	18	1,55	
Anch	19	1,1	
Anch	20	1,55	
Anch	21	1,415	5,32
Anch			5,32
Anch			5,32
Anch			5,32
Anch			5,32
Anch	22	1,415	2,5
Anch			2,5
Anch			2,5
Anch			9,4
Anch			9,4
Anch			9,4
Anch			9,4
Anch	23	1,55	0
Anch			0
Anch			0
Anch			0
Anch			0
Anch	24	1,1	0
Anch			0
Anch			0
Anch			0
Anch	25	1,1	6
Anch			6
Anch	26	1,1	
Anch	27	1,1	0
Anch			0
Anch			0
Anch			0
Anch	28	1,1	
Anch	29	1,1	0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch	30	1,415	
Anch	31	1,415	13,44
Anch			13,44
Anch			13,44
Anch			8
Anch			8
Anch			8
Anch			8
Anch			8
Anch	32	1,55	0
Anch			0
Anch			0
Anch			0
Anch	33	2,7	8,66
Anch			8,66
Anch			8,66
Anch	34	1,55	7,93
Anch			7,93
Anch			7,93
Anch			7,93
Anch			4,5
Anch			4,5
Anch			4,5
Anch			4,5
Anch			4,5
Anch	35	1,55	0
Anch			0
Anch			0
Anch	36	1,55	6,8
Anch			6,8
Anch			6,8
Anch			6,8
Anch			6,8
Anch			1,5
Anch			1,5
Anch			1,5
Anch			1,5
Anch			1,5
Anch			1,5
Anch			1,5
Anch			1,5
Anch	37	2,7	2,5
Anch			2,5
Anch			2,5
Anch			2,5
Anch			2,5
Anch			2,5
Anch			8,47
Anch			8,47
Anch			8,47
Anch			8,47
Anch			8,47
Anch	38	2,7	8,06
Anch			8,06
Anch			8,06
Anch			8,06
Anch			8,06
Anch			8,06
Anch	39	2,7	7,93
Anch			7,93
Anch			7,93
Anch	40	2,7	
Anch	41	1,55	0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch	42	2,7	5
Anch			5
Anch			5
Anch			5
Anch			5
Anch			8
Anch			8
Anch			8
Anch	43	2,7	5
Anch			3,5
Anch			3,5
Anch			3,5
Anch			3,5
Anch	44	2,7	12
Anch			12
Anch			12
Anch			12
Anch	45	1,55	11
Anch			11
Anch			11
Anch	46	1,415	5
Anch			5
Anch			5
Anch			5
Anch			5
Anch	47	1,55	11
Anch			11
Anch			11
Anch			11
Anch			11
Anch			11
Anch			11
Anch			11
Anch			11
Anch			11
Anch	48	1,55	3,5
Anch			3,5
Anch			3,5
Anch			3,5
Anch	49	1,415	
Anch	50	2,7	8
Anch			8
Anch			8
Anch			8
Anch			8
Anch			8
Anch			12
Anch			12
Anch			12
Anch			12
Anch			12
Anch	51	1,55	6
Anch			6
Anch			6
Anch			6
Anch			6
Anch	52	1,415	
Anch	53	2,7	9
Anch			9
Anch	54	1,415	
Anch	55	2,7	5
Anch			5
Anch			5
Anch	56	2,7	
Anch	57	1,1	
Anch	58	1,415	
Anch	59	1,55	5
Anch			5
Anch			5
Anch			5
Anch			5
Anch			5
Anch			10
Anch			10
Anch			10
Anch			10
Anch			10
Anch	60	2,7	1
Anch			1
Anch	61	1,1	
Anch	62	1,55	8
Anch			8
Anch			8
Anch	63	1,415	3,5
Anch			3,5
Anch			3,5
Anch			3,5
Anch			3,5
Anch			3,5
Anch			3,5
Anch	64	1,55	1,5
Anch			1,5
Anch			1,5
Anch			1,5
Anch	65	1,415	
