local	transectID	comprimento do transecto (km)	dist_perpendicular (m)
Anch	1	1,415	5
Anch			5
Anch			5
Anch			
Anch	2	1,1	
Anch	3	1,55	5
Anch			5
Anch	4	1,415	
Anch	5	1,415	5
Anch			5
Anch			5
Anch			5
Anch			5
Anch			0
Anch			3
Anch			3
Anch			3
Anch	6	1,55	2
Anch			2
Anch			3
Anch	7	1,415	
Anch	8	1,415	
Anch	9	1,55	12
Anch			12
Anch			12
Anch	10	1,1	0
Anch			0
Anch			0
Anch			0
Anch			1
Anch			1
Anch			1
Anch			1
Anch			1
Anch			1
Anch			1
Anch	11	1,55	2,5
Anch			2,5
Anch			2,5
Anch			2,5
Anch			2,5
Anch			9,7
Anch			9,7
Anch			9,7
Anch			9,7
Anch	12	1,1	7
Anch			7
Anch			7
Anch			7
Anch			7
Anch	13	1,415	
Anch	14	1,415	
Anch	15	1,55	10
Anch			10
Anch			10
Anch			4
Anch			4
Anch			4
Anch			4
Anch			4
Anch			5
Anch			5
Anch			5
Anch			5
Anch			5
Anch			5
Anch	16	1,55	8,5
Anch	17	1,415	7
Anch			7
Anch			7
Anch			7
Anch	18	1,1	
Anch	19	2,7	6
Anch			6
Anch			6
Anch	20	2,7	2
Anch	21	1,415	
Anch	22	1,415	
Anch	23	1,55	
Anch	24	1,55	6,5
Anch			6,5
Anch			6,5
Anch	25	2,7	2
Anch			2
Anch			2
Anch			2
Anch	26	2,7	
Anch	27	1,1	
Anch	28	1,415	
Anch	29	1,1	
Anch	30	1,55	4
Anch			4
Anch			4
Anch			4
Anch			4
Anch			4
Anch			4
Anch	31	2,7	
Anch	32	1,1	3
Anch			3
Anch			3
Anch			3
Anch			3
Anch	33	1,55	
Anch	34	1,55	5,3
Anch			5,3
Anch			5,3
Anch	35	1,1	6,7
Anch			6,7
Anch	36	1,415	
Anch	37	1,415	1,8
Anch			1,8
Anch			1,8
Anch			1,8
Anch			1,8
Anch			1,5
Anch			1,5
Anch			1,5
Anch			1,5
Anch			1,5
Anch			1,5
Anch			1,5
Anch			2,3
Anch	38	1,415	
Anch	39	1,415	
Anch	40	1,1	
Anch	41	1,1	
Anch	42	1,55	
Anch	43	1,415	
Anch			
Anch	44	1,415	
Anch	45	1,1	
Anch	46	1,1	
Anch	47	1,55	6
Anch			6
Anch			6
Anch			6
Anch			6
Anch	48	1,415	3
Anch			3
Anch	49	1,415	
Anch	50	1,1	
Anch	51	1,1	
Anch	52	1,55	2,7
Anch			2,7
Anch			2,7
Anch			2,7
Anch			2,7
Anch	53	1,55	
Anch	54	1,415	
Anch	55	1,415	
Anch	56	1,415	5,4
Anch	57	1,55	
Anch	58	1,1	
Anch	59	1,415	0
Anch			0
Anch			0
Anch			0
Anch			2,4
Anch			2,4
Anch			2,4
Anch			6
Anch	60	2,7	7
Anch			7
Anch			2
Anch			2
Anch			2
Anch			7
Anch			7
Anch			7
Anch			7
Anch			7
Anch			7
Anch	61	1,415	
Anch	62	1,1	10
Anch	63	1,1	0
Anch	64	1,415	4
Anch	65	1,55	
Anch	66	1,415	0
Anch	67	1,415	9
Anch			9
Anch			9
Anch			9
Anch			9
Anch			9
Anch			9
Anch			9
Anch			9
Anch			9
Anch	68	2,7	10,5
Anch			10,5
Anch			10,5
Anch	69	2,7	
Anch	70	1,415	4
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch			0
Anch	71	1,1	
Anch	72	1,1	
Anch	73	1,55	6,5
Anch			6,5
Anch			6,5
Anch			6,5
Anch			6,5
Anch			6,5
Anch			6,5
Anch	74	1,55	
Anch	75	1,415	
Anch	76	1,415	
Anch	77	1,1	
Anch	78	1,1	6,5
Anch	79	1,415	
Anch	80	1,1	
Anch	81	1,1	
Anch	82	1,415	7,5
Anch			5,5
Anch	83	1,415	
Anch	84	1,415	
Anch	85	1,1	
Anch	86	1,415	
Anch	87	1,1	2
Anch	88	1,415	4,5
Anch			5
Anch	89	1,415	
