local	transectID	comprimento do transecto (km)	dist_perpendicular (m)
Anch	1	1,1	2,5
Anch	2	1,1	0
Anch	3	1,1	0
Anch	4	1,1	8,66
Anch	5	1,415	0
Anch			0
Anch			0
Anch	6	1,1	
Anch	7	1,1	
Anch	8	1,415	9,62
Anch			0
Anch	9	1,1	
Anch	10	1,415	0
Anch			0
Anch			0
Anch	11	1,1	0
Anch			8,04
Anch	12	1,1	13,39
Anch			0
Anch			0
Anch	13	1,55	
Anch	14	1,1	
Anch	15	1,1	1,3
Anch			1,3
Anch	16	1,415	0
Anch			0
Anch			0
Anch			0
Anch	17	1,415	
Anch	18	1,55	10,79
Anch			9,61
Anch	19	1,1	
Anch	20	1,55	0
Anch	21	1,415	0
Anch			0
Anch	22	1,415	
Anch	23	1,55	0
Anch	24	1,1	6,25
Anch	25	1,1	5
Anch	26	1,1	5,4
Anch	27	1,1	
Anch	28	1,1	4,8
Anch	29	1,1	11,04
Anch	30	1,415	0
Anch	31	1,415	0
Anch			0
Anch			0
Anch			0
Anch			0
Anch	32	1,55	8,06
Anch	33	2,7	7
Anch	34	1,55	0
Anch	35	1,55	
Anch	36	1,55	5,7
Anch			5,7
Anch	37	2,7	
Anch	38	2,7	
Anch	39	2,7	2
Anch	40	2,7	0
Anch	41	1,55	0
Anch			0
Anch			0
Anch	42	2,7	0
Anch	43	2,7	4,6
Anch			0
Anch			12,5
Anch	44	2,7	0
Anch			0
Anch	45	1,55	
Anch	46	1,415	4
Anch			4
Anch			16
Anch			15,7
Anch			15,7
Anch			0
Anch	47	1,55	6
Anch			2
Anch			2
Anch	48	1,55	10
Anch			2,5
Anch			0
Anch	49	1,415	4
Anch			4
Anch			19,2
Anch	50	2,7	10
Anch			10
Anch			3
Anch	51	1,55	5
Anch			5
Anch			10
Anch			5
Anch	52	1,415	3
Anch			3
Anch			6
Anch	53	2,7	4
Anch	54	1,415	0
Anch			3
Anch			3
Anch	55	2,7	7
Anch			6
Anch			0
Anch			0
Anch	56	2,7	1
Anch			6
Anch	57	1,1	5
Anch			0
Anch	58	1,415	0
Anch			3,5
Anch			4
Anch	59	1,55	3
Anch			3
Anch			4
Anch			0
Anch	60	2,7	2
Anch			2
Anch	61	1,1	1
Anch			3
Anch	62	1,55	5
Anch			5
Anch			2
Anch			5
Anch	63	1,415	4
Anch			0
Anch	64	1,55	6
Anch			0
Anch			8
Anch	65	1,415	0
Anch			4
Anch			4
