local	transectID	comprimento do transecto (km)	dist_perpendicular (m)
Anch	1	1,415	0
Anch			1
Anch			0
Anch			0
Anch	2	1,1	7,5
Anch			0
Anch			8,5
Anch	3	1,55	4,5
Anch			0
Anch			5
Anch			0
Anch	4	1,415	1,5
Anch			2,5
Anch			7
Anch	5	1,415	2,5
Anch			8
Anch			4,5
Anch	6	1,55	1,5
Anch			10
Anch	7	1,415	5
Anch			3,5
Anch			3
Anch			0
Anch			9
Anch			0
Anch			0
Anch	8	1,55	3
Anch			8,5
Anch	9	1,1	
Anch	10	1,5	7
Anch	11	1,1	3,5
Anch	12	1,415	0
Anch			0
Anch			0
Anch			2,5
Anch			0
Anch	13	1,415	1,5
Anch	14	1,55	0
Anch			0
Anch			0
Anch			5,5
Anch			0
Anch			0
Anch	15	1,55	0
Anch			0
Anch			3
Anch	16	1,415	6
Anch	17	1,1	5,5
Anch			5,5
Anch			4
Anch			7
Anch			7
Anch	18	2,7	
Anch	19	2,7	
Anch	20	1,415	1
Anch			0
Anch			0
Anch	21	1,55	
Anch	22	2,7	0
Anch			0
Anch	23	2,7	
Anch	24	1,1	
Anch	25	1,415	3
Anch	26	1,1	
Anch	27	1,55	0
Anch			0
Anch	28	2,7	0
Anch	29	1,1	
Anch	30	1,55	0
Anch	31	1,1	1,5
Anch	32	1,415	0
Anch			0
Anch	33	1,415	5,5
Anch	34	1,415	
Anch	35	1,415	
Anch	36	1,1	
Anch	37	1,1	
Anch	38	1,55	
Anch	39	1,415	0
Anch			0
Anch	40	1,415	0
Anch	41	1,1	0
Anch	42	1,1	
Anch	43	1,55	3,4
Anch	44	1,55	0
Anch			0
Anch	45	1,415	2
Anch	46	1,415	4,8
Anch			2
Anch			3,5
Anch	47	1,55	6
Anch	48	1,1	
Anch	49	1,55	0
Anch	50	2,7	
Anch	51	1,415	4
Anch	52	1,1	
Anch	53	1,1	
Anch	54	1,415	0
Anch			0
Anch	55	1,415	0
Anch			0
Anch	56	1,55	0
Anch			0
Anch			5,5
Anch			0
Anch			0
Anch			0
Anch			7
Anch	57	1,415	0
Anch			8,5
Anch			6
Anch			6
Anch			8,5
Anch			1
Anch	58	2,7	6
Anch			3,5
Anch			5,5
Anch			4
Anch			5
Anch			5
Anch			5
Anch			5
Anch			5
Anch			3,5
Anch			7,5
Anch	59	2,7	5
Anch			4,5
Anch			6
Anch	60	1,415	2
Anch			8,5
Anch			9
Anch			9
Anch			0
Anch			0
Anch			6,5
Anch	61	1,1	4
Anch	62	1,1	
Anch	63	1,55	9
Anch			6
Anch			8
Anch	64	1,55	5,5
Anch			2
Anch			3
Anch	65	1,415	7,5
Anch			7,5
Anch			10,5
Anch			10,5
Anch			5
Anch			7
Anch			2,5
Anch			5
Anch			4
Anch	66	1,415	3,5
Anch			2
Anch			1
Anch			2,5
Anch			10
Anch	67	1,1	0
Anch	68	1,1	4
Anch			11,5
Anch	69	1,415	0
Anch			0
Anch			6,5
Anch			7
Anch			5
Anch			7,5
Anch			2
Anch			1
Anch	70	1,1	5,5
Anch			3,5
Anch			0
Anch			13
Anch			13
Anch	71	1,1	0
Anch	72	1,415	4,5
Anch			7
Anch			7
Anch			7
Anch			1
Anch			5
Anch			1,5
Anch	73	1,415	0
Anch			7
Anch			5
Anch			6
Anch	74	1,1	0
Anch			0
Anch			1
Anch	75	1,415	0
Anch			0
Anch	76	1,1	6,5
Anch	77	1,1	
Anch	78	1,415	0
Anch			7,5
Anch			3
Anch	79	1,415	0
