Region	Ordem	Extensão	Indivíduos	DP
Anch	67	1,100	7	22
Anch	68	1,100		
Anch	71	0,350		
Anch	72	0,350		
Anch	73	1,415	5	2,2
Anch			1	1,3
Anch			1	3,5
Anch			3	4
Anch	74	1,415		
Anch	75	0,350		
Anch	76	0,350		
Anch	83	1,100		
Anch	84	0,350	6	4,5
Anch	85	0,350		
Anch	90	1,415	3	1
Anch	91	1,415		
Anch	98	1,100	4	5
Anch	99	1,100		
Anch	104	1,550		
Anch	105	1,550		
Anch	109	1,415	2	23
Anch	110	1,415		
Anch	111	0,350		
Anch	112	0,350		
Anch	117	0,350		
Anch	118	0,350		
Anch	119	1,100		
Anch	120	1,100		
Anch	123	0,350		
Anch	124	0,350		
Anch	129	1,100		
Anch	130	1,100		
Anch	131	1,415		
Anch	132	1,415		
Anch	135	0,350		
Anch	136	0,350		
Anch	141	1,415		
Anch	142	1,415		
Anch	145	2,700		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
