Region	Ordem	Extensão	Indivíduos	DP
Anch	1	0,350		
Anch	2	0,350		
Anch	3	0,715	4	5,5
Anch			1	5
Anch			1	8
Anch	4	0,715		
Anch				
Anch	5	1,415	2	3
Anch	6	1,415	1	1
Anch	7	1,100	1	5
Anch	8	1,100	3	22
Anch			1	4
Anch	9	1,550	1	10
Anch	10	1,550		
Anch	11	0,350	3	1,5
Anch			1	5
Anch	12	0,350	1	9
Anch			1	3
Anch			6	8
Anch	13	0,750	2	2
Anch	14	0,750	2	6
Anch			1	2
Anch			4	10
Anch	15	1,415		
Anch	16	1,415		
Anch	17	1,100	1	6
Anch			2	15
Anch			1	1
Anch			3	0
Anch	18	1,100		
Anch	19	1,550	1	5
Anch	20	1,550	5	10
Anch	21	0,750		
Anch	22	0,750		
Anch	23	1,415		
Anch	24	1,415		
Anch	25	0,350		
Anch	26	0,350		
Anch	27	1,100	1	8
Anch	28	1,100		
Anch	29	1,415	3	1
Anch			2	8
Anch	30	1,415	1	8
Anch	31	1,100		
Anch	32	1,100		
Anch	33	1,550		
Anch	34	1,550	1	1
Anch	35	0,750		
Anch	36	0,750		
Anch	37	0,350		
Anch	38	0,350		
Anch	39	2,700	1	5
Anch			2	10
Anch	40	0,750		
Anch	41	0,750		
Anch	42	1,100		
Anch	43	1,100	1	1
Anch			7	10
Anch			2	0
Anch	44	0,350		
Anch	45	0,350		
Anch	46	1,415	2	3
Anch	47	1,415		
Anch	48	1,100	1	40
Anch			2	30
Anch			1	6
Anch			2	1
Anch	49	1,100	1	1
Anch	50	0,750	1	6
Anch			1	7
Anch	51	0,750		
Anch	52	0,350		
Anch	53	0,350		
Anch	54	1,415		
Anch	55	1,415	6	9
Anch	56	1,100	1	0
Anch	57	1,100		
Anch	58	0,750		
Anch	59	0,750		
Anch	60	1,415		
Anch	61	1,415		
Anch	62	0,350		
Anch	63	0,350		
Anch	64	0,750		
Anch	65	0,750		
Anch	66	0,350		
Anch	67	0,350		
Anch	68	1,550		
Anch	69	1,550		
Anch	70	1,415	1	13
Anch	71	1,415	1	0
Anch			1	0
Anch			2	2
Anch	72	1,100	1	35
Anch			1	0,3
Anch			1	0
Anch	73	1,100		
Anch	74	2,700	1	2,5
Anch	75	0,350		
Anch	76	0,350	4	4
Anch	77	0,750		
Anch	78	0,750		
Anch	79	1,100	1	1
Anch			6	3
Anch			2	0
Anch	80	1,100	6	3
Anch	81	0,350		
Anch	82	0,350		
Anch	83	0,750	1	0
Anch	84	0,750		
Anch	85	1,100	4	2
Anch			1	0
Anch			1	5
Anch			1	2
Anch			2	2
Anch			1	7
Anch	86	1,100	1	3
Anch			1	1,5
Anch			1	7
Anch	87	1,415		
Anch	88	1,415		
Anch	89	1,550		
Anch	90	1,550		
Anch	91	1,100	3	4
Anch	92	1,100	6	4
Anch	93	2,700	4	7
Anch	94	1,550		
Anch	95	1,550		
Anch	96	0,750	1	0
Anch	97	0,750		
Anch	98	0,350		
Anch	99	0,350		
Anch	100	1,415	6	2
Anch	101	1,415	2	1
Anch			3	0
Anch	102	1,100	6	6
Anch			1	4
Anch	103	1,100	4	0
Anch	104	1,550	1	1,5
Anch	105	1,550	3	6,5
Anch	106	0,350		
Anch	107	0,350		
Anch	108	0,750	3	5,5
Anch	109	0,750		
